software_name
12Twenty
15Five Engagement Survey
1Password
3PlayMedia
4K Video Downloader
8th Wall
Abacus.AI
Ableton Live 12
Ableton Live 12 Suite
Ableton Live Suite 12
AcqKnowledge Data Analysis and Acquisition Software
Act!
ActiLife v7
Ad Astra
Adobe Creative Cloud
Airtable
ALEKS
Alexander Street Press App for Canvas
Alma Digital Uploader
AlmaConnect News Scanner
Altoura
Amazon AWS EC2
Amazon DCV
Anaconda
AngryIP Scanner
Angular
Animaker
Ansible
ANSRS
ANY-maze
Apple Remote Desktop 3
Aqurit
Arduino IDE
Array Calc
Articulate 360
Articulate 360 AI
Articulate 360 Teams
Artspira
ARYA Cloud
Arya Spinetix
Asana
ASEBA
ASEBA-PC Module CBCL/6-18
ATLAS.ti
ATrack
Audacity
Audiate
AudioCodes
AutoCAD
AutoCAD Lt
Autodesk 3ds Max
Autodesk Fusion 360
Autodesk Maya
Autodesk Revit
AWS Elemental Streaming Server
AXIO
Azure document intelligence
Bad Elf-brokered Geodnet RTK correction services
BalenaEtcher
Bambu Studio
Barracuda (SHI Purchase)
Basecamp
beatscope 1.1a
Bertini 2
BHN Rewards
BioRender
BIOVIA Materials Studio for Non-Profit Research
bit.ly
Bitfire Replay
Bitly
Bitvise SSH Server
Blender
Bloomberg INCOME TAX PLANNER WITH FIFTY STATES WEB
BLUMEN ONLINE (BOT)
BMI Digital Reel
Box.com
BrainVision Analyzer 2.0
BrainVision Recorder
Brave
BrightAuthor
Brightsign
BRmesh
Bruker TopSpin
BuddyBoss Platform Pro
BuddyBoss Theme
Burlington English
Buzzsprout
C6 Plus Analysis SW PC MAC
Cadence
Calendly
Calipso
Cameo silhouette studio
Camtasia
Canonical Ubuntu Pro
Canva
Canva Pro
CapCut
CardioSeries v2.7
CareAcademy
Carousel Cloud Core
Carousel Cloud Player
Carousel Digital Signage
Case Revie Solutions
CaseAmplify
Catapult
CBORD
CEM Liberty2.0 Peptide Synthesizer
CFX Maestro 2.3
ChatGPT
ChatGPT API
ChatGPT Business
ChatGPT Plus
ChatGPT Pro
Chromeleon
Claris Filemaker
Class Track
Classroom Maestro
Claude
Claude API
Claude Code
Claude Code Pro
Claude Max
Claude Pro
ClickUp
ClipGrab
CloudLinux for cPanel
Cognito Forms
Collavate for Google Docs
CollegeBoard Access Plan
Cometa - EMG and Motion Tools
CommonLook PDF Validator
Computer Vision Annotation Tool (CVAT)
COMSOL
COMSOL Multiphysics
Concept3D Inc
Connect Cloud Research
Connect/Canvas integration
Contact Out
Cornerstone
CoStar
CountThings
Coursera
Covidence
Credly
Cricut Design Space
Cura
Cursor IDE
Cvent
Da Vinci Resolve (free version)
DAFinitive
Dante Controller
Dante Updater
Dante Virtual Soundcard
Darktable
Data Viewer
Datacolor Spyder
Dataro
DaVinci Resolve
DaVinci Resolve Studio 20.1
Dedoose
DeepL
Deweydata.io
DigiCo Dante Rack Utility
Direct Connection
Discord
DocHub
DocSend
DonorAtlas
Doodle
Doodle Pro
Doodle Team
Dropbox
Dropbox Advanced
Dropbox Plus
Dynamsoft version 19.3
E-Prime 3.0
Ebook Central Reader App
ECHO360
EDS
EDU-AL Active Learning for Education
Elan
ElevenLabs
Ellucian Travel Expense Mgmt by Chrome River (Emburse)
eLOTO
EM1
Email on Acid
Emburse Analytics
EMGWorks
EMWorks
Encoura
EndNote by Clarivate
Enscape
Ensora-Theranest
Envato
EPIX XCAP
Epson Scan 2 Utility
Equidox
Equinox Suite
Escuelanet.com
Ethos
Eventbrite
Eventive
Evernote
EVViewer
Exclaimer
EXModel Pro
Experia Creative
Experiment Builder
Explorance Blue
Exprodo Calpendo
Exxat PRISM
EyeLink 1000
EZ Office Inventory
EZOfficeInventory
EZproxy
FabFilter Pro-C 2
FabFilter Pro-L 2
FabFilter Pro-Q 4
Fan Compass - FC Core
FathomAI
FCS Express
Fellow
FFI
FFI-Lite
Figma
FileMaker Pro
Fillout
Filmora Wondershare
Final Cut Pro
Finapres Modelflow
Finapres Nova Remote Control
Finapres Nova Scope
Findaphd.com
Fireflies.ai
Firefly Video Otoscope Software
Fit3D
Fitabase
Fledermaus
Flipbook Maker
FlowJo
Fluke Energy Analyze Plus application
FM MNT Perptl Users 1yr NP EDU T1 (Filemaker site licence from Claris)
Form Approvals
Form Assembly
Fourwaves
Frame.io
Freewill
Fresh Service
GAIA GPS
GALLUP Store - CliftonStrengths for Leaders
Gamma
GAT Unlock
GAT+
Gather Town
Gaussian
Geneious
Geneious Prime
Genially
Genio notes (previously called Glean)
Gerber 8.0
Getty Images Premium Access
GitHub
GitHub Copilot
GitHub Desktop
GiveCard
Glimpse
Global Facility Management System (GFMS)
Globus
GLOWFORGE
GoDaddy Web Domain registration
Goodnote 5
Google Ads
Google Cloud (Burwood Inc is the Vendor)
Google Colab
Google Drive
Google Email Notifications
Google for Workspace Education Plus
Google Gemini
Google Voice
Google Workspace
GoPrint
GoPrint On-Premise and Cloud
GPS Data Viz
GPT API
Grackle Docs
Gradleaders Learning Platform
Grammarly
Grammarly Browser Extension
Grammarly Desktop
Grammarly premium
Granicus
GraphPad Prism
Gratavid
Gravity Forms
Gray DI
Great River Learning LMS
GroupWisdom
Guestlist (free app)
Handbrake
Happeo
Hatch Embroidery Digitizer 3
HathiTrust Membership
Heroku
HOBOlink
Hootsuite
HostGator
Hotjar
HubSpot
Hugging Face
HY-TEK Team Manager
Hyland OnBase
iCIMS
Ideagen Audit Analytics
IDEAS
IDL
Igor Pro
iLAB
iLumivu mEMA
Immersion ED
IMPLAN
Industry Select Manufacturers database
Infoblox Trinzic
InfoReady
Initium Instant Address
inkscape
Inpart Connect
InstaCal
Installomator
Intellectual Statistics
Intellectus Qualitative
Intelligent Video Systems
iRevo Digital Sign
ISSUU
iWave
iZotope RX 7
Jamf Pro
JASP
JBI Sumari
JetBrains
Jira
Jira Software Premium
JMP
JupyterLab
Kadoa
Kahoot
KeyNet by Spectrum Group
KiCad
KnowBe4
KoboCollect (app) for use with KoboToolbox
Ks Rates
KSI Cloud Hosting
Kubios HRV Scientific
Kudoboard
Kurzweil 3000
Lab Guru
LabChart 8 Pro
LabFront
Labscope 4.6.1 - for Windows
LabSolutions LCGC
LabVIEW
Landmark Associates Transcription
Landmark SeisSpace ProMAX
LangGraph
Lantiv
Lantiv Scheduling Studio
Laracasts
Lean Library
Leap project (latest release: v3.0.2).
LearnVia
Lemlist
LENA Hub
LGMV-buisness
LibreView
LinkedIn Premium
Linktree
Listen iDSP
Lode Ergometry Manager
Lode Export Module
LoginPress Pro
Logitech Options+
Lovable
LSAT 170+ LiveOnline Vouchers
LSAT Demon
LucidChart
Lytics
M365 A3 Unified Edu Sub Per User
MAAP 3D
Macaulay2
Mailchimp
ManageEngine-Patch Manager Plus
MARCEdit
MarketPsych Analytics
Master Lock cLOTO
Maxon One
MAXQDA
MAXQDA Academia
McGraw Hill - Sharpen Enterprise
Meadow
MedeA
Mediasite
MeeScan
MEGA VERSION 12
Mentimeter
Meta Horizon Managed Solution
MetaBIM
MetaBIM FacilitiesLink
metaheuristica
Metopio
MicroFocus Zenworks Service Desk
Microsoft 365
Microsoft Intune
Microsoft Office
Microsoft Office 365
Microsoft SQL Server
Midjourney
Mind the Graph
miniconda
Miniforge
MiniOrange wordpress-sso plugin.
MiniOrange-Wordpress SSO Plugin
Mira Costa Community College - PLC Technician ILP
MNova NMR
MobileUp
Modern Campus Catalog
Modern Campus CMS Website Search
Modern Campus Curriculum Management
Monday.com
MongoDB
More s'more
Mosio
Mplus
mural
MURF
MUTOH XPJ-661UF
MyEssayFeedback
MyOpenMath
mySiteIQ Optimize Submeter Integration
Mythos (More Vang)
MyWikis
n8n
NAG library
Network Canvas
Netwrix Auditor
New Day Films
Nextcast
NIH Toolbox
NIH Toolbox® V3
NinjaOne
Ninjio
Nintendo Switch Online Membership
Noldus Observer XT
Northstar Digital Literacy
Notebook LM
Notepad++
Notifii
Notion
Notion Plus
Nutrition Data System
Nuventive
Nvivo
NVivo MAC
Oasis montaj
Oasis Workflow
OBS Studio
Obsidian
OCLC Connexion
OfficeConnect
Ollama
Omnisync TurboSBIR
OnSolve
OpenAI API credits
OpenRefine
OpenRouter
OpenText Filr
Orange Box Controller
ORBIS CROSSBORDER INVESTMENT
Orca
OriginPro 2024b
OriginPro 2025b
Osirix
OsiriX DICOM Viewer
Otter Pro
Otter.ai
Overleaf
Overleaf Error Assist
Overleaf Online LaTeX Editor
OWL
Oxygen XML Editor
Padlet
PantrySoft
Papers
Papers Pro
Parallels
Pasco Capstone
PASS
Past Perfect Version 5.0 upgrade
Paste
PastPerfect
PathwayU
PayByPhone
PaymentWorks
pdfFiller
Peach Jar
Phillips SpeechExec Pro
Phon
PhpStorm
Piazza
Pingboard
PlayIt Live
Playstation Plus Online Membership
Podium X
Posit Cloud
Posit Connect
Postage Saver
Power BI desktop
Presentation
Prism
Private Internet Access VPN
Prolific
Proofpoint
Propared
Proxmox
ProxyClick
PuTTY
Puzzel.org
PyCharm
PyCharm Professional
PyMol
Python
Q-Chem 6.3
Q-Chem 7
Q-Interactive
QGIS
QL Software
Qualtrics
Qualtrics CoreXM Advanced
Qualtrics Edge Audiences
Qualtrics XM 360
QuantStudio Design and Analysis Software
Quetext Essential
Quicklink
Quicklink with Zoom Integration
Qwickly
R
RealRecruit
RealTime Clinical Trial Management System (CTMS)
RealVNC
RealVNC Viewer for NMRBox
RecRe Box
Red Hat Enterprise Linux (SHI Purchase)
REDCap Cloud
Refine AI
Register the MOLE OSE domain with Porkbun.com
